,Unnamed: 0,列1,refcode,Melting point_original,smiles,MP[K],MP[℃],note
2388,19129,19129,DOJHOA,96 deg.C,OC(OC(O)C(=O)c1ccccc1)C(=O)c1ccccc1,369.15,96.15,
2389,19153,19153,DOJRAV,96-97 deg.C,COc1ccc(cc1)C1OC(C)C(C1C)c1ccc(OC)cc1,369.65,96.65,
2390,19157,19157,DOJSIE,89-90deg.C,CC(CO)C(O)C1CC(C)C(O1)C1(C)CCC(O1)C1(C)CCC(=O)O1,362.65,89.65,
2391,19163,19163,DOJVII,73 deg.C,COc1ccc(cc1)C#CC1=CC=C(O1)C=O,346.15,73.15,
2392,19171,19171,DOJXIJ,530-531 K,CC1CCC2(OC1)OC1C(O)C3C4CC=C5CC(O)CCC5(C)C4CC(O)C3(C)C1C2C,530.5,257.5,
2393,19172,19172,DOJZEH,285-287deg.C,CC(C)c1c(C(C)C)c(C(C)C)c(C(C)C)c(C(C)C)c1C(C)C,559.15,286.15,
2394,19193,19193,DOKJUI,410-423 K,CC1(C)CC(=O)C23CCC4(O)CC(C)(C2)C3(C1)O4,416.5,143.5,
2395,19197,19197,DOKLEU,45-46deg.C,C1COCCOCCOCCCOc2ccccc2OC1,318.65,45.65,
2396,19198,19198,DOKLEV,473-476 K,COC1=C(C(=O)C(=C2OC(=O)C3(C(=O)C(=C(OC)C3(OC)C12OC)C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C,474.5,201.5,
2397,19202,19202,DOKMEW,421-422 K,CC1CCCC2CC(=O)C3(O)C(C)C(=O)OC3C12C,421.5,148.5,
2398,19208,19208,DOKNIA,477-478 K,COc1ccc(cc1)C(C1=CC=C(C=C(O)C1=O)C(C)C)C1=CC=C(C=C(O)C1=O)C(C)C,477.5,204.5,
2399,19216,19216,DOKROL,388 K,CCOC(=O)C1C(CC(=CC1=O)C1=CC=CO1)c1ccc(OCC)cc1,388.0,115.0,
2400,19224,19224,DOKWOP,398-399 K,COC(=O)C(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(C)(C1CC3)C(=O)OC,398.5,125.5,
2401,19243,19243,DOLBIP,452.5 K,COC(=O)C12C3(C(=O)OC)C1(C(=O)OC)C1(C(C)(C)C)C2(C(C)(C)C)C31C(C)(C)C,452.5,179.5,
2402,19254,19254,DOLKEU,457-460 K,COC(=O)C12CCC(C)C(C)C1C1=CCC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C)CC2,458.5,185.5,
2403,19286,19286,DOLSIG,411K,CC(=O)C1=CC2C3C4(OC4(C)C)C=CC3(C1C12OC1(C)C)C(C)=O,411.0,138.0,
2404,19287,19287,DOLSOM,425K,CC(=O)C1=CC2C3(OC3(C)C)C1C1C3(OC3(C)C)C=CC21C(C)=O,425.0,152.0,
2405,19290,19290,DOMCAK,438-439 K,OC1C2OC(Oc3ccccc23)c2ccccc12,438.5,165.5,
2406,19291,19291,DOMCEO,464-465 K,COc1cccc2C3OC(Oc12)c1ccccc1C3O,464.5,191.5,
2407,19295,19295,DOMFIU,583-598 K decomposition,CC1=CC(=O)C2=C(O1)C(C)(C)C1CCC3(C)C(CC4=C5C6CC(C)(CCC6(C)CCC35C)C4=O)C1(C)C2,590.5,317.5,
2408,19298,19298,DOMHUL,323 K,CCc1ccc(O)c2C(=O)CC(C)c12,323.0,50.0,
2409,19315,19315,DONCUE,104deg.C,C1C2=CC=CC=C1C=CC(C=C2)=C1C=CC=CC=C1,377.15,104.15,
2410,19317,19317,DONFER,127-129deg.C,OC(=O)C12CCCC3CCC1CCC23,401.15,128.15,
2411,19321,19321,DONLAT,406-408 K,CC(=O)OCC1=C2CCC(=CCC(OC(C)=O)C(=CC2OC1=O)C)C,407.0,134.0,
2412,19334,19334,DONVOR,313-315 K,CC(C)(C)OC(=O)C1=CC=CC=CO1,314.0,41.0,
2413,19351,19351,DOPJEX,395-396 K,CC1CC2=C(C3C(C=C(C)C2=O)C(CCC3=C)C(C)=C)C1=O,395.5,122.5,
